Date;Start;End;Gesamt (Netzlast) [MWh] Original resolutions;Residuallast [MWh] Original resolutions
01.01.2016;00:00;00:15;10.143,75;8.114,75
01.01.2016;00:15;00:30;10.149,75;8.128
01.01.2016;00:30;00:45;9.985,75;7.973,75
01.01.2016;00:45;01:00;9.849,5;7.840,25
01.01.2016;01:00;01:15;9.724;7.712,25
01.01.2016;01:15;01:30;9.553;7.553
01.01.2016;01:30;01:45;9.487,5;7.505,5
01.01.2016;01:45;02:00;9.398;7.427
01.01.2016;02:00;02:15;9.303,5;7.341,25
01.01.2016;02:15;02:30;9.193,25;7.248,75
01.01.2016;02:30;02:45;9.143,5;7.213,25
01.01.2016;02:45;03:00;9.128,75;7.208,5
01.01.2016;03:00;03:15;9.146;7.234,25
01.01.2016;03:15;03:30;9.122;7.227,5
01.01.2016;03:30;03:45;9.105,75;7.235,25
01.01.2016;03:45;04:00;9.078,75;7.231,75
01.01.2016;04:00;04:15;9.096,5;7.268,5
01.01.2016;04:15;04:30;9.169;7.359
01.01.2016;04:30;04:45;9.136,25;7.348,25
01.01.2016;04:45;05:00;9.176;7.410,25
01.01.2016;05:00;05:15;9.267,25;7.517,5
01.01.2016;05:15;05:30;9.282;7.551,5
01.01.2016;05:30;05:45;9.301;7.592,75
01.01.2016;05:45;06:00;9.322,75;7.637,25
01.01.2016;06:00;06:15;9.437,75;7.774,5
01.01.2016;06:15;06:30;9.597,5;7.952,5
01.01.2016;06:30;06:45;9.777,75;8.161
01.01.2016;06:45;07:00;9.832;8.246
01.01.2016;07:00;07:15;10.079,75;8.515
01.01.2016;07:15;07:30;10.251,25;8.721
01.01.2016;07:30;07:45;10.546;9.060,5
01.01.2016;07:45;08:00;10.559;9.115,25
01.01.2016;08:00;08:15;10.796,5;9.385,5
01.01.2016;08:15;08:30;10.850;9.461
01.01.2016;08:30;08:45;10.903,5;9.517
01.01.2016;08:45;09:00;11.012,25;9.616,5
01.01.2016;09:00;09:15;11.127,25;9.712,25
01.01.2016;09:15;09:30;11.331;9.892,75
01.01.2016;09:30;09:45;11.402,25;9.938
01.01.2016;09:45;10:00;11.553;10.027,75
01.01.2016;10:00;10:15;11.613,25;10.042
01.01.2016;10:15;10:30;11.866,75;10.248,75
01.01.2016;10:30;10:45;11.951,75;10.285,25
01.01.2016;10:45;11:00;12.035,25;10.303
01.01.2016;11:00;11:15;12.216;10.430,75
01.01.2016;11:15;11:30;12.396,5;10.578,25
01.01.2016;11:30;11:45;12.547;10.710,25
01.01.2016;11:45;12:00;12.576;10.728,75
01.01.2016;12:00;12:15;12.545,25;10.697,25
01.01.2016;12:15;12:30;12.466,25;10.631
01.01.2016;12:30;12:45;12.352,75;10.549,75
01.01.2016;12:45;13:00;12.297;10.538,75
01.01.2016;13:00;13:15;12.189;10.489,5
01.01.2016;13:15;13:30;12.225,25;10.585,75
01.01.2016;13:30;13:45;12.046,25;10.486
01.01.2016;13:45;14:00;11.813,75;10.346,75
01.01.2016;14:00;14:15;11.789,5;10.434,75
01.01.2016;14:15;14:30;11.736,5;10.497,75
01.01.2016;14:30;14:45;11.609,25;10.490
01.01.2016;14:45;15:00;11.783;10.793,75
01.01.2016;15:00;15:15;11.549;10.689,75
01.01.2016;15:15;15:30;11.675,5;10.937
01.01.2016;15:30;15:45;11.499;10.883,5
01.01.2016;15:45;16:00;11.546,5;11.037,75
01.01.2016;16:00;16:15;11.623,75;11.177,25
01.01.2016;16:15;16:30;11.827;11.401,75
01.01.2016;16:30;16:45;12.001,25;11.575,5
01.01.2016;16:45;17:00;12.363,25;11.932,75
01.01.2016;17:00;17:15;12.577,25;12.140
01.01.2016;17:15;17:30;12.632,25;12.185,75
01.01.2016;17:30;17:45;12.840,25;12.379,75
01.01.2016;17:45;18:00;12.761;12.289,25
01.01.2016;18:00;18:15;12.836,5;12.353
01.01.2016;18:15;18:30;12.888,75;12.390,25
01.01.2016;18:30;18:45;12.853;12.335
01.01.2016;18:45;19:00;12.782,5;12.242,75
01.01.2016;19:00;19:15;12.728,5;12.158,75
01.01.2016;19:15;19:30;12.447,5;11.856
01.01.2016;19:30;19:45;12.404,25;11.777
01.01.2016;19:45;20:00;12.268,25;11.604,75
01.01.2016;20:00;20:15;11.935,75;11.242
01.01.2016;20:15;20:30;11.764,5;11.038,75
01.01.2016;20:30;20:45;11.559,25;10.799
01.01.2016;20:45;21:00;11.438;10.643,5
01.01.2016;21:00;21:15;11.316,25;10.485,25
01.01.2016;21:15;21:30;11.273,5;10.415,25
01.01.2016;21:30;21:45;11.117,75;10.226,25
01.01.2016;21:45;22:00;11.132,25;10.204,75
01.01.2016;22:00;22:15;11.679,25;10.724
01.01.2016;22:15;22:30;11.641,75;10.653,5
01.01.2016;22:30;22:45;11.511,75;10.493,5
01.01.2016;22:45;23:00;11.324;10.273,75
01.01.2016;23:00;23:15;11.145,75;10.071,5
01.01.2016;23:15;23:30;11.010,25;9.911,75
01.01.2016;23:30;23:45;10.720,5;9.597
01.01.2016;23:45;00:00;10.538,5;9.385
02.01.2016;00:00;00:15;10.067,75;8.434
02.01.2016;00:15;00:30;10.059,75;8.357,5
02.01.2016;00:30;00:45;9.972,25;8.200,5
02.01.2016;00:45;01:00;9.897,5;8.060,5
02.01.2016;01:00;01:15;9.835,75;7.938,5
