Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
01.01.2021;00:00;00:15;10.891,75;9.680,5
01.01.2021;00:15;00:30;10.842,75;9.667,5
01.01.2021;00:30;00:45;10.721;9.580,5
01.01.2021;00:45;01:00;10.700,75;9.594,25
01.01.2021;01:00;01:15;10.524;9.448
01.01.2021;01:15;01:30;10.456;9.411,75
01.01.2021;01:30;01:45;10.356,5;9.342,5
01.01.2021;01:45;02:00;10.262,75;9.278,5
01.01.2021;02:00;02:15;10.195,25;9.241,25
01.01.2021;02:15;02:30;10.175,75;9.251,25
01.01.2021;02:30;02:45;10.105;9.208,25
01.01.2021;02:45;03:00;10.037,5;9.168,75
01.01.2021;03:00;03:15;10.058,75;9.215,5
01.01.2021;03:15;03:30;10.074,25;9.248,75
01.01.2021;03:30;03:45;10.023,25;9.215,75
01.01.2021;03:45;04:00;9.991,75;9.202
01.01.2021;04:00;04:15;10.002,75;9.229,75
01.01.2021;04:15;04:30;9.965,25;9.209
01.01.2021;04:30;04:45;9.941,25;9.201
01.01.2021;04:45;05:00;9.937,5;9.213
01.01.2021;05:00;05:15;9.917,75;9.207
01.01.2021;05:15;05:30;9.831,5;9.129,25
01.01.2021;05:30;05:45;9.777,5;9.081,75
01.01.2021;05:45;06:00;9.665;8.977,5
01.01.2021;06:00;06:15;9.554,5;8.869,25
01.01.2021;06:15;06:30;9.505,25;8.820,25
01.01.2021;06:30;06:45;9.528,5;8.844
01.01.2021;06:45;07:00;9.433;8.749,5
01.01.2021;07:00;07:15;9.513;8.828,5
01.01.2021;07:15;07:30;9.531,75;8.847,5
01.01.2021;07:30;07:45;9.624,75;8.940
01.01.2021;07:45;08:00;9.695,25;9.009,75
01.01.2021;08:00;08:15;9.852,5;9.163,5
01.01.2021;08:15;08:30;9.888,5;9.184,25
01.01.2021;08:30;08:45;10.078,25;9.322
01.01.2021;08:45;09:00;10.108,75;9.296
01.01.2021;09:00;09:15;10.349,25;9.461,25
01.01.2021;09:15;09:30;10.488,25;9.507,75
01.01.2021;09:30;09:45;10.617,25;9.539,5
01.01.2021;09:45;10:00;10.679,5;9.495
01.01.2021;10:00;10:15;10.811,75;9.531,5
01.01.2021;10:15;10:30;11.091;9.730,75
01.01.2021;10:30;10:45;11.232;9.794,75
01.01.2021;10:45;11:00;11.323;9.812,5
01.01.2021;11:00;11:15;11.544,75;9.963,5
01.01.2021;11:15;11:30;11.692,75;10.040
01.01.2021;11:30;11:45;11.800,5;10.088,5
01.01.2021;11:45;12:00;11.820,25;10.060,5
01.01.2021;12:00;12:15;11.767,75;9.968
01.01.2021;12:15;12:30;11.691,25;9.867,75
01.01.2021;12:30;12:45;11.631,25;9.791
01.01.2021;12:45;13:00;11.546,5;9.695
01.01.2021;13:00;13:15;11.458,5;9.613,5
01.01.2021;13:15;13:30;11.393,5;9.577,75
01.01.2021;13:30;13:45;11.355,5;9.586,5
01.01.2021;13:45;14:00;11.205,5;9.492
01.01.2021;14:00;14:15;11.156;9.503,5
01.01.2021;14:15;14:30;11.194,25;9.616,75
01.01.2021;14:30;14:45;11.066;9.572,25
01.01.2021;14:45;15:00;11.057,75;9.652
01.01.2021;15:00;15:15;11.122,25;9.804,75
01.01.2021;15:15;15:30;11.157,25;9.912,5
01.01.2021;15:30;15:45;11.141,75;9.963,25
01.01.2021;15:45;16:00;11.111,5;9.982,75
01.01.2021;16:00;16:15;11.257;10.162
01.01.2021;16:15;16:30;11.412,5;10.308,5
01.01.2021;16:30;16:45;11.643,25;10.528,25
01.01.2021;16:45;17:00;11.871;10.717,75
01.01.2021;17:00;17:15;12.310,75;11.122
01.01.2021;17:15;17:30;12.405;11.187
01.01.2021;17:30;17:45;12.518,25;11.274,25
01.01.2021;17:45;18:00;12.541,25;11.272,75
01.01.2021;18:00;18:15;12.773,25;11.484,25
01.01.2021;18:15;18:30;12.715,5;11.413,5
01.01.2021;18:30;18:45;12.679,25;11.368
01.01.2021;18:45;19:00;12.532,25;11.215,5
01.01.2021;19:00;19:15;12.616,5;11.296,5
01.01.2021;19:15;19:30;12.400,5;11.074,75
01.01.2021;19:30;19:45;12.335,25;11.001
01.01.2021;19:45;20:00;12.325;10.983
01.01.2021;20:00;20:15;12.216;10.862,5
01.01.2021;20:15;20:30;12.148,25;10.784,25
01.01.2021;20:30;20:45;12.034,75;10.660
01.01.2021;20:45;21:00;11.975,75;10.588,75
01.01.2021;21:00;21:15;11.908,5;10.512
01.01.2021;21:15;21:30;11.905;10.498,75
01.01.2021;21:30;21:45;11.784,25;10.368,25
01.01.2021;21:45;22:00;11.788,5;10.362,75
01.01.2021;22:00;22:15;11.923,75;10.497,25
01.01.2021;22:15;22:30;11.794,5;10.368,25
01.01.2021;22:30;22:45;11.650,75;10.225,75
01.01.2021;22:45;23:00;11.547;10.124,25
01.01.2021;23:00;23:15;11.256,25;9.831,75
01.01.2021;23:15;23:30;11.045,5;9.623
01.01.2021;23:30;23:45;10.914;9.495,75
01.01.2021;23:45;00:00;10.796,5;9.383
02.01.2021;00:00;00:15;10.831,25;9.613
02.01.2021;00:15;00:30;10.662;9.444
02.01.2021;00:30;00:45;10.545,75;9.330,25
02.01.2021;00:45;01:00;10.439,75;9.226,5
02.01.2021;01:00;01:15;10.397;9.185,25
02.01.2021;01:15;01:30;10.309;9.113
02.01.2021;01:30;01:45;10.272,75;9.091
02.01.2021;01:45;02:00;10.236,5;9.070,5
02.01.2021;02:00;02:15;10.156,5;9.007,25
02.01.2021;02:15;02:30;10.112,25;8.979
02.01.2021;02:30;02:45;10.116,5;9.001,5
02.01.2021;02:45;03:00;10.079;8.979
02.01.2021;03:00;03:15;10.055;8.972
02.01.2021;03:15;03:30;10.068,5;9.002,5
02.01.2021;03:30;03:45;10.070,75;9.021
02.01.2021;03:45;04:00;10.079,75;9.045,5
02.01.2021;04:00;04:15;10.065,5;9.046,75
02.01.2021;04:15;04:30;10.035;9.034,75
02.01.2021;04:30;04:45;10.096;9.114,75
02.01.2021;04:45;05:00;10.069,75;9.108,25
02.01.2021;05:00;05:15;10.084;9.140,25
02.01.2021;05:15;05:30;10.122,75;9.194,25
02.01.2021;05:30;05:45;10.176,5;9.262,5
02.01.2021;05:45;06:00;10.260,5;9.361,25
02.01.2021;06:00;06:15;10.316;9.427
02.01.2021;06:15;06:30;10.438,25;9.563,75
02.01.2021;06:30;06:45;10.491;9.631,75
02.01.2021;06:45;07:00;10.650,75;9.808,25
02.01.2021;07:00;07:15;10.823,5;9.996,25
02.01.2021;07:15;07:30;10.927;10.113
